strain	genbank_accession	date	country	location	length	host	bioproject_accession	biosample_accession	sra_accession	authors	publications	Nextstrain_lineage
Japan/Tokyo/TKY220091/2022_DNA|LC722946.1|2022-07	LC722946.1	2022-07	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/TKY220091/2022 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.		B.1
Japan/Tokyo/2022/TKY220165_DNA|LC753968.1|2022-09	LC753968.1	2022-09	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/2022/TKY220165 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.		C.1
Japan/Tokyo/2022/TKY220176_DNA|LC753969.1|2022-10	LC753969.1	2022-10	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/2022/TKY220176 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.		C.1
Japan/Tokyo/2022/TKY220187_DNA|LC753970.1|2022-10	LC753970.1	2022-10	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/2022/TKY220187 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.		C.1
Japan/Tokyo/2023/TKY220310_DNA|LC756922.1|2023-01-25	LC756922.1	2023-01-25	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/2023/TKY220310 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.		C.1
Japan/Tokyo/2023/TKY220318_DNA|LC756923.1|2023-01-25	LC756923.1	2023-01-25	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/2023/TKY220318 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.		C.1
Japan/Tokyo/2023/TKY220325_DNA|LC756924.1|2023-01-30	LC756924.1	2023-01-30	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/2023/TKY220325 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.		C.1
Japan/Tokyo/2023/TKY220342_DNA|LC756925.1|2023-02-09	LC756925.1	2023-02-09	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/2023/TKY220342 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.		C.1
Japan/Tokyo/2023/TKY220304_DNA|LC760460.1|2023-01-23	LC760460.1	2023-01-23	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/2023/TKY220304 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K., Harada,S., Amano,A.		C.1
Japan/Tokyo/2023/TKY220343_DNA|LC760461.1|2023-02-13	LC760461.1	2023-02-13	Japan	Tokyo	197141	Homo sapiens			Japan/Tokyo/2023/TKY220343 DNA	Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K., Harada,S., Amano,A.		C.1
Japan/Tokyo/NCGM240303/2024_DNA|LC831698.1|2024-03-03	LC831698.1	2024-03-03	Japan	Tokyo	197177	Homo sapiens			Japan/Tokyo/NCGM240303/2024 DNA	Higashi-Kuwata,N., Okada,W., Takahashi,K., Nagashima,M., Morioka,S., Iwamoto,N., Sadamasu,K., Yoshimura,K., Ohmagari,N., Mitsuya,H.		C.1.2
Japan/MX23-002-03-P0/2023_DNA|LC852823.1|2023-01-30	LC852823.1	2023-01-30	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834601	Japan/MX23-002-03-P0/2023 DNA			C.1
Japan/MX23-003-01-P0/2023_DNA|LC852824.1|2023-01-30	LC852824.1	2023-01-30	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834602	Japan/MX23-003-01-P0/2023 DNA			C.1
Japan/MX23-004-03-P0/2023_DNA|LC852825.1|2023-02-27	LC852825.1	2023-02-27	Japan		197203	Homo sapiens	PRJDB16992	SAMD00834603	Japan/MX23-004-03-P0/2023 DNA			C.1
Japan/MX23-005-02-P0/2023_DNA|LC852826.1|2023-02-27	LC852826.1	2023-02-27	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834604	Japan/MX23-005-02-P0/2023 DNA			C.1
Japan/MX23-006-02-P0/2023_DNA|LC852827.1|2023-02-27	LC852827.1	2023-02-27	Japan		197204	Homo sapiens	PRJDB16992	SAMD00834605	Japan/MX23-006-02-P0/2023 DNA			C.1
Japan/MX23-008-1-P0/2023_DNA|LC852828.1|2023-03-13	LC852828.1	2023-03-13	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834606	Japan/MX23-008-1-P0/2023 DNA			C.1
